"gid","주차장","건물1","건물2","건물3","관공서","생산가능인구","전기차","충전소","교통량","유동인구","경도","위도","거리_전기차","거리_충전소","거리_교통량"
"다바794640",0,0,0,0,0,0,0,0,0,0,127.2697179,36.77434583,0,0,0
"다바794639",0,0,0,0,0,0,0,0,0,0,127.2697206,36.77344436,0,0,0
"다바794638",0,0,0,0,0,0,0,0,0,0,127.2697233,36.77254289,0,0,0
"다바794637",0,0,0,0,0,0,0,0,0,15.97,127.2697259,36.77164142,0,0,0
"다바794636",0,0,0,0,0,0,0,0,0,463.88,127.2697286,36.77073995,0,0,0
"다바794635",0,7,2,0,0,442,0,0,0,1165.96,127.2697313,36.76983848,0,0,0
"다바794634",0,0,0,0,0,0,0,0,0,336.21,127.269734,36.76893701,0,0,0
"다바794633",0,0,0,0,0,0,0,0,0,3.65,127.2697367,36.76803554,0,0,0
"다바794632",0,0,0,0,0,0,0,0,0,0,127.2697394,36.76713406,0,0,0
"다바794631",0,0,0,0,0,0,0,0,0,0,127.2697421,36.76623259,0,0,0
"다바794630",0,0,0,0,0,0,0,0,0,0,127.2697448,36.76533112,0,0,0
"다바794629",0,0,0,0,0,0,0,0,0,0,127.2697475,36.76442965,0,0,0
