gid,주차장,건물1,건물2,건물3,관공서,생산가능인구,전기차,충전소,교통량,유동인구,경도,위도
다바620496,,0,0,0,0,,0,0,,,127.0754529,36.64399805
다바620495,,0,0,0,0,,0,0,,,127.0754579,36.64309658
다바620494,,0,0,0,0,,0,0,,,127.0754628,36.64219511
다바620493,,0,0,0,0,,0,0,,,127.0754678,36.64129363
다바619569,,0,0,0,0,,0,0,,,127.0739716,36.70980116
다바619568,,0,0,0,0,,0,0,,,127.0739765,36.7088997
다바619567,,0,0,0,0,,0,0,,,127.0739815,36.70799823
다바619566,,0,0,0,0,,0,0,,1.27,127.0739865,36.70709677
다바619565,,8,0,0,0,,0,0,,4.88,127.0739915,36.70619531
다바619564,,6,0,0,0,,0,0,,4.67,127.0739965,36.70529385
다바619563,,1,0,0,0,,0,0,,0.42,127.0740014,36.70439238
다바619562,,1,0,0,0,,0,0,,,127.0740064,36.70349092
다바619561,,0,0,0,0,,0,0,,,127.0740114,36.70258946
다바619560,,0,0,0,0,,0,0,,0.48,127.0740164,36.70168799
다바619559,,0,0,0,0,,0,0,,,127.0740213,36.70078653
