"건물용도코드","건물일련번호","경도","위도","건물종류","가점척도"
2001,26959,127.1542722,36.82138234,"아파트",2
2001,26960,127.1555628,36.82209527,"아파트",2
2001,26958,127.1556645,36.82192554,"아파트",2
2001,26961,127.1552756,36.82211575,"아파트",2
2001,26962,127.1554044,36.8220044,"아파트",2
2001,26963,127.1545488,36.82156223,"아파트",2
2001,26964,127.1558049,36.82151391,"아파트",2
2001,26965,127.1556302,36.82147767,"아파트",2
2001,26966,127.1552971,36.82131606,"아파트",2
2001,26968,127.1551386,36.82122519,"아파트",2
2001,26969,127.15467,36.82087702,"아파트",2
2001,26970,127.1543753,36.8208243,"아파트",2
2001,26971,127.1546743,36.82225084,"아파트",2
2001,38983,127.148783,36.79659276,"아파트",2
2001,38979,127.1487155,36.79680277,"아파트",2
2001,38992,127.1486332,36.79483528,"아파트",2
2001,38994,127.1486094,36.79428766,"아파트",2
2001,24443,127.145367,36.80260785,"아파트",2
2001,24458,127.1454738,36.80212887,"아파트",2
2001,24447,127.1447842,36.80221444,"아파트",2
2001,24440,127.1450484,36.80266885,"아파트",2
2001,24438,127.1450098,36.80308107,"아파트",2
2001,24439,127.1449136,36.80299463,"아파트",2
2001,24454,127.1455182,36.80178521,"아파트",2
2001,24437,127.1451865,36.80315931,"아파트",2
2001,24436,127.1453305,36.80316571,"아파트",2
2001,24441,127.1449304,36.80275386,"아파트",2
2001,24442,127.1451562,36.80259849,"아파트",2
2001,24444,127.1452166,36.80247351,"아파트",2
2001,24445,127.145324,36.80247828,"아파트",2
2001,24448,127.1449521,36.80209423,"아파트",2
2001,24446,127.1448447,36.80208946,"아파트",2
2001,24449,127.1450769,36.80231422,"아파트",2
2001,24450,127.144979,36.80222538,"아파트",2
2001,24451,127.1452331,36.80185351,"아파트",2
2001,24457,127.1447999,36.80311846,"아파트",2
2001,24452,127.145115,36.80193852,"아파트",2
2001,24453,127.1453379,36.80178053,"아파트",2
2001,24455,127.1453678,36.80165086,"아파트",2
2001,24456,127.1454752,36.80165563,"아파트",2
2001,62444,127.1518954,36.79732956,"아파트",2
2001,134986,127.1514519,36.79726689,"아파트",2
2001,62441,127.1517306,36.79683573,"아파트",2
2001,62478,127.1487738,36.79585565,"아파트",2
2001,5587,127.1581851,36.7796298,"아파트",2
2001,5590,127.1582034,36.77872678,"아파트",2
2001,5566,127.1544205,36.77810241,"아파트",2
2001,5586,127.157712,36.779644,"아파트",2
2001,5569,127.1555386,36.77903257,"아파트",2
2001,5563,127.1551179,36.778697,"아파트",2
2001,5562,127.1551009,36.77884662,"아파트",2
2001,5579,127.1566982,36.77848706,"아파트",2
2001,5556,127.1550336,36.77969825,"아파트",2
2001,5582,127.1571198,36.77956948,"아파트",2
2001,5571,127.1559081,36.77978214,"아파트",2
2001,5548,127.1540685,36.77986195,"아파트",2
2001,5580,127.157051,36.77979743,"아파트",2
2001,5549,127.1539788,36.77959043,"아파트",2
2001,5550,127.1540832,36.77874556,"아파트",2
2001,5551,127.1540898,36.77929963,"아파트",2
2001,5547,127.1542478,36.77977515,"아파트",2
2001,5581,127.1566288,36.77958226,"아파트",2
2001,5575,127.1559989,36.77866338,"아파트",2
2001,5592,127.158258,36.77851118,"아파트",2
2001,5585,127.1581394,36.77984303,"아파트",2
2001,5565,127.154879,36.77826085,"아파트",2
2001,5555,127.1543001,36.77868048,"아파트",2
2001,5588,127.158171,36.77929035,"아파트",2
2001,5591,127.1577828,36.77852617,"아파트",2
2001,5574,127.1570798,36.77924789,"아파트",2
2001,5583,127.1571272,36.77903173,"아파트",2
2001,5568,127.1554663,36.77954053,"아파트",2
2001,5570,127.1559594,36.77954963,"아파트",2
2001,5572,127.1559937,36.7790283,"아파트",2
2001,5573,127.1559445,36.77924477,"아파트",2
2001,5558,127.1546868,36.77975021,"아파트",2
2001,5567,127.1541415,36.77815615,"아파트",2
2001,5589,127.1582238,36.7790781,"아파트",2
2001,5576,127.1555765,36.77846746,"아파트",2
2001,5577,127.1560322,36.77844834,"아파트",2
2001,5578,127.1571045,36.77868592,"아파트",2
2001,5554,127.1543006,36.77923587,"아파트",2
2001,5557,127.1550286,36.77985813,"아파트",2
2001,5559,127.1550724,36.77935261,"아파트",2
2001,5560,127.1550916,36.77919738,"아파트",2
2001,5561,127.154761,36.77925393,"아파트",2
2001,5552,127.1540241,36.77905572,"아파트",2
2001,5553,127.1540158,36.77850605,"아파트",2
2001,5564,127.1547923,36.77875677,"아파트",2
2001,5584,127.157162,36.77847133,"아파트",2
2001,153264,127.1611616,36.78023946,"아파트",2
2001,153265,127.1618378,36.78023855,"아파트",2
2001,153266,127.1619128,36.77979264,"아파트",2
2001,153267,127.1612787,36.77979349,"아파트",2
2001,153268,127.1607516,36.77978627,"아파트",2
2001,153269,127.1601758,36.7797905,"아파트",2
2001,153270,127.1601906,36.77930168,"아파트",2
2001,153271,127.1607692,36.77929294,"아파트",2
2001,153272,127.1616939,36.77929595,"아파트",2
2001,153273,127.1615873,36.77881154,"아파트",2
2001,153274,127.1608475,36.77882953,"아파트",2
2001,153275,127.1602439,36.77877274,"아파트",2
2001,153276,127.1602665,36.77820952,"아파트",2
2001,153277,127.1607353,36.77820061,"아파트",2
2001,153278,127.1612641,36.77825288,"아파트",2
2001,15098,127.1509586,36.80225385,"아파트",2
16001,136949,127.3038868,36.75243084,"주차장",2
2001,40915,127.1613615,36.82135923,"아파트",2
2001,40909,127.1608905,36.82209229,"아파트",2
2001,40910,127.1611015,36.82170366,"아파트",2
2001,40911,127.1605853,36.82088829,"아파트",2
2001,40912,127.160365,36.82128883,"아파트",2
2001,11764,127.1548011,36.8231922,"아파트",2
2001,11753,127.1537135,36.82331711,"아파트",2
2001,11745,127.1538052,36.82433346,"아파트",2
2001,11738,127.1532796,36.82414558,"아파트",2
2001,11760,127.1531754,36.82370238,"아파트",2
2001,11747,127.1545984,36.82421201,"아파트",2
2001,11757,127.1547726,36.82368972,"아파트",2
2001,11737,127.1552946,36.8241892,"아파트",2
2001,11744,127.1538356,36.82381717,"아파트",2
2001,11791,127.1560735,36.82370931,"아파트",2
2001,11790,127.1567059,36.82373463,"아파트",2
2001,11769,127.156738,36.82431753,"아파트",2
2001,11785,127.1571839,36.82402692,"아파트",2
2001,11781,127.1565125,36.82319076,"아파트",2
2001,11768,127.1561642,36.824275,"아파트",2
2001,11792,127.1570861,36.82343901,"아파트",2
2001,11798,127.1594948,36.82419875,"아파트",2
2001,11801,127.1587248,36.82435057,"아파트",2
2001,11814,127.1580311,36.82351278,"아파트",2
2001,11815,127.1599558,36.82383384,"아파트",2
2001,11816,127.1587858,36.82376305,"아파트",2
2001,11811,127.1585759,36.82320154,"아파트",2
